date,year,url,saved_path,status,bytes,sha256,kind
20151028,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151028.htm,minutes_html\2015\fomcminutes-20151028.htm,200,134802,a43910026d6e6c66dbc8996c89154ad329f5f72a8d180887ea27aa5c643dd6d5,html_modern
20151216,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151216.htm,minutes_html\2015\fomcminutes-20151216.htm,200,131889,89394b4bd22f6c2765d8e3c9b747e7aa34b8dc5faf24a164384549fc08a42c35,html_modern
20140129,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140129.htm,minutes_html\2014\fomcminutes-20140129.htm,200,162358,98ff8d1416025503fa946e01e94793cbc5757a31de148c007b56f10b7d50f912,html_modern
20140319,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140319.htm,minutes_html\2014\fomcminutes-20140319.htm,200,135535,b46dc1147b094aa84a03d9f4d2ccfc085cd9a4f4af921125200efa41b9540f12,html_modern
20140430,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140430.htm,minutes_html\2014\fomcminutes-20140430.htm,200,125548,8895cae8daae0b2bfaa95704283eaeaaeaaa8740198373e54f651ed523cfac74,html_modern
20140618,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140618.htm,minutes_html\2014\fomcminutes-20140618.htm,200,137603,7ca26b776ac3a092848313956c682a95bb7f77d4939ce1cf50a260779a7636ed,html_modern
20140730,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140730.htm,minutes_html\2014\fomcminutes-20140730.htm,200,133700,b13b585fd24c34da912aba05a62353f65753e7de6b7ac0d351b0758524e94b31,html_modern
20140917,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140917.htm,minutes_html\2014\fomcminutes-20140917.htm,200,141818,37c3b81117b43b29f2af2c3bd9937ebc8dd90d9abbbc4e0980b496dbbe1ee2d6,html_modern
20141029,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141029.htm,minutes_html\2014\fomcminutes-20141029.htm,200,136034,1c4c997ed81a132f7030a1bf211377742162711d0b92da3b471729afd1f50929,html_modern
20141217,2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141217.htm,minutes_html\2014\fomcminutes-20141217.htm,200,130652,cd6c6ef8b871f84569e269d2ccd129ed0e4cee0c5300db8d9f594ce4bf4d8b90,html_modern
20130130,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130130.htm,minutes_html\2013\fomcminutes-20130130.htm,200,155915,2844b2cfc6e563e332d16dd0e79c6d5dcd4cf8a07da5ce526fc561ee366523fe,html_modern
20130320,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130320.htm,minutes_html\2013\fomcminutes-20130320.htm,200,128459,5789864e1a4988d9a88e2e370fd03f175b07cbcb12e5a496e342e16e4b5d4bab,html_modern
20130501,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130501.htm,minutes_html\2013\fomcminutes-20130501.htm,200,125592,4dbf81d8dc72b2c47a7e0190cf8b7827cf2ff05a1bc79da5178c75afe5b0c671,html_modern
20130619,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130619.htm,minutes_html\2013\fomcminutes-20130619.htm,200,134389,2b1428c199db7495c183041605ff849fc35cea361b073eacc71c750fae5e7b35,html_modern
20130731,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130731.htm,minutes_html\2013\fomcminutes-20130731.htm,200,127715,20a0f757f83f53aaa895589837dd5baa401d15268cc721d08709e5915a3a9ad7,html_modern
20130918,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130918.htm,minutes_html\2013\fomcminutes-20130918.htm,200,134666,443e6a50d978af5848b0ac05053203584189a39981afaa1e7ec48330db56fb40,html_modern
20131030,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131030.htm,minutes_html\2013\fomcminutes-20131030.htm,200,130850,2b5e154131b6e79e8954ce83271f7cb697f499bfaabca32901249e6467749a7a,html_modern
20131218,2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131218.htm,minutes_html\2013\fomcminutes-20131218.htm,200,138543,ea43dd73d97315053baffe5dca00ee5a95ff5da9f159daa2ac74a42f883beddf,html_modern
20120125,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120125.htm,minutes_html\2012\fomcminutes-20120125.htm,200,155046,90663dd9ecd21d1b62b56bee6883e5ef3641fc4b35705cede4963f9551f915ed,html_modern
20120313,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120313.htm,minutes_html\2012\fomcminutes-20120313.htm,200,122113,36c32bcc416a47b06323f17066ef47b42a9daa4a4eec861805b6da369ed7e78e,html_modern
20120425,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120425.htm,minutes_html\2012\fomcminutes-20120425.htm,200,127029,07584c30b4db4b9a02f50b555f96aa324792a977769682f4c90f90a5a7bbe212,html_modern
20120620,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120620.htm,minutes_html\2012\fomcminutes-20120620.htm,200,133847,7df44b0fcb048d78f23261c9351eea674cda7b0794e5b97a22672e00d2eeed3b,html_modern
20120801,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120801.htm,minutes_html\2012\fomcminutes-20120801.htm,200,127485,4181a4c4c31f0b019121a422bbb251af8e7a54640a217d8d6eb866a1ed4269fa,html_modern
20120913,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120913.htm,minutes_html\2012\fomcminutes-20120913.htm,200,131036,ee4648122b2f0d33c9c8ac5264bd2a27f0f8c16ec16abc82552b8a65276791c0,html_modern
20121024,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121024.htm,minutes_html\2012\fomcminutes-20121024.htm,200,124574,e132c5d1c88a6758e38757c2fe869a7cf6a781b9c516d5da23f9c4abb1367ad0,html_modern
20121212,2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121212.htm,minutes_html\2012\fomcminutes-20121212.htm,200,131123,1f258cc48ceecd32c760a6af469fce559ccaaddb335e82835f7bd2e3c25bc79d,html_modern
